R1-PA1:VH,control_panel_log4,R1-PM3:V
-41.625384,0,132437.0121
69.058603,0,132060.9131
-154.194402,0,131333.7883
-171.153953,0,131534.3744
-12.307133,0,132311.6458
-117.313109,0,131835.2537
-150.332666,0,126444.5006
-174.270843,0,132286.5725
113.325322,0,131634.6675
154.280346,0,131434.0813
-34.148284999999994,0,131057.9823
111.377266,0,131684.814
46.673142,0,133615.4558
-97.643467,0,132487.1587
139.274581,0,131409.0081
-37.752189,0,132386.8656
-17.595534,0,131835.2537
30.584487,0,132361.7923
-40.571141,0,131785.1071
146.975134,0,131659.7408
148.476283,0,131760.0339
179.347249,0,131534.3744
-111.921576,0,134793.8995
-176.61997,0,140711.1912
-152.77919599999998,0,131484.2279
-12.169624,0,132411.9389
91.36958,0,129678.9524
-9.052733,0,132211.3527
-7.706282000000001,0,130406.0773
120.922743,0,131960.62
133.42468200000002,0,131283.6417
-132.972045,0,131308.715
-13.779635,0,132813.1112
-36.359902000000005,0,131634.6675
-116.61983,0,126645.0868
-144.694762,0,134467.947
7.373966999999999,0,130130.2713
-80.534948,0,131133.2021
-3.66693,0,130832.3229
-178.08101200000002,0,132010.7666
-138.13439499999998,0,130706.9565
36.801079,0,130982.7625
-6.715064999999999,0,131785.1071
-163.917496,0,132060.9131
-140.219961,0,130681.8832
-114.362376,0,131835.2537
-169.131412,0,131885.4002
34.904589,0,131434.0813
-140.890322,0,130907.5427
-51.233886,0,130330.8575
126.532,0,131785.1071
97.013214,0,131810.1804
-57.456208,0,131985.6933
-31.09442,0,131057.9823
128.852478,0,132161.2062
-67.368378,0,131233.4952
-68.565859,0,132161.2062
-43.447390000000006,0,131308.715
54.43672,0,131835.2537
68.468457,0,132060.9131
65.75836600000001,0,131459.1546
-64.452022,0,132437.0121
40.914916,0,133966.4816
-94.560955,0,132788.0379
-176.092849,0,131459.1546
148.270018,0,131810.1804
-133.56792099999998,0,131810.1804
38.760595,0,131860.3269
-57.135351,0,131960.62
-164.822769,0,131910.4735
-50.23121,0,131860.3269
-12.742581,0,131960.62
-29.220848,0,132336.7191
-21.617698,0,131108.1288
175.250601,0,131659.7408
-104.163727,0,131684.814
166.833851,0,131308.715
-177.943502,0,132010.7666
-47.045565,0,137226.0067
173.19941200000002,0,138605.0366
63.288918,0,135897.1234
-121.679047,0,135546.0976
66.9272,0,132161.2062
-151.404097,0,132411.9389
-159.826577,0,131007.8358
141.938835,0,132010.7666
-162.381969,0,122432.7774
-115.181706,0,130757.1031
-110.557936,0,131183.3486
-41.803001,0,130807.2496
98.921163,0,131860.3269
-33.546679,0,129854.4653
-2.108485,0,131734.9606
-56.126946,0,131634.6675
-100.084268,0,132462.0854
35.683811,0,131183.3486
-142.981618,0,131208.4219
-152.96827199999998,0,132136.1329
-26.969123,0,130757.1031
-135.579003,0,134844.0461
138.92507700000002,0,132788.0379
-19.102413,0,131885.4002
-138.638598,0,132136.1329
-112.67788,0,131233.4952
75.676266,0,130932.6159
-124.051092,0,132261.4993
-39.963806,0,132311.6458
-7.425533000000001,0,131835.2537
117.760016,0,131333.7883
122.670264,0,131935.5467
141.744029,0,132085.9864
167.865175,0,131233.4952
118.046495,0,130782.1763
70.51391600000001,0,132060.9131
141.44036100000002,0,130907.5427
19.749855,0,133966.4816
35.494735,0,130907.5427
15.538615,0,131609.5942
-73.132333,0,131409.0081
145.794841,0,132462.0854
-164.599315,0,131734.9606
136.16342,0,131383.9348
18.477889,0,130456.2238
-125.128253,0,132437.0121
-40.112775,0,131634.6675
-84.476897,0,130757.1031
144.969781,0,130280.7109
-27.662402,0,130732.0298
-166.667693,0,131459.1546
62.698772,0,130807.2496
-53.15329499999999,0,131459.1546
-28.120769,0,131709.8873
-103.017812,0,131985.6933
112.053356,0,132060.9131
-57.14108100000001,0,134392.7272
-12.931657,0,134944.3391
-45.968404,0,132361.7923
123.53543,0,132411.9389
-135.160744,0,131559.4477
-28.567676,0,131158.2754
92.32069,0,132336.7191
-31.673107,0,134192.141
6.583285000000001,0,130706.9565
-102.467772,0,131383.9348
91.621681,0,134192.141
37.712082,0,130957.6892
-25.376301,0,131935.5467
-93.856216,0,132010.7666
163.27578300000002,0,130832.3229
152.77346699999998,0,120075.89
-139.893375,0,126018.255
18.351838,0,131860.3269
-61.57004499999999,0,131559.4477
-174.591699,0,136925.1275
-149.75397900000002,0,131183.3486
-149.135185,0,136072.6363
166.152031,0,130932.6159
57.570799,0,131509.3012
-49.446258,0,132386.8656
-40.364877,0,135220.1451
-33.896183,0,132085.9864
-117.794393,0,131007.8358
-142.706598,0,131960.62
104.117891,0,132261.4993
54.688822,0,132361.7923
15.269325,0,132286.5725
87.496385,0,132261.4993
51.216697,0,131509.3012
-9.36213,0,131509.3012
-105.831034,0,131108.1288
-94.61825,0,131333.7883
141.096587,0,132336.7191
151.885382,0,131183.3486
-103.476178,0,130957.6892
-84.545652,0,131760.0339
-97.912758,0,132060.9131
-105.813846,0,131534.3744
45.676195,0,131183.3486
61.701825,0,131258.5685
38.342336,0,131584.521
30.063096,0,131158.2754
-52.144889,0,131133.2021
-90.830999,0,132136.1329
-57.473396,0,131283.6417
129.534298,0,131007.8358
-63.409239,0,132437.0121
-121.90823,0,131208.4219
105.303913,0,133414.8697
4.526367,0,131559.4477
173.829666,0,134292.4341
-3.271589,0,132136.1329
-133.94607299999998,0,132035.8398
156.709687,0,123285.2686
163.09243600000002,0,133740.8222
132.897561,0,131584.521
62.440941,0,132236.426
40.943564,0,130732.0298
-136.283741,0,130606.6634
179.175362,0,133941.4083
-49.629604,0,115387.1885
54.809143000000006,0,128500.5088
37.265175,0,131835.2537
-28.848425,0,131634.6675
-93.558278,0,130782.1763
-174.574511,0,132211.3527
-90.298149,0,137451.6661
127.33987,0,131108.1288
53.371019,0,131810.1804
-7.706282000000001,0,130381.004
-76.66748299999999,0,132136.1329
-47.022646,0,131484.2279
166.215056,0,131584.521
112.15648799999998,0,132286.5725
-39.740353000000006,0,132136.1329
-76.03722900000001,0,132186.2794
-90.332526,0,133164.137
83.118987,0,132111.0596
93.953619,0,134668.5332
-47.629982,0,131835.2537
175.95533899999998,0,131734.9606
131.190146,0,132111.0596
-25.089822,0,131860.3269
46.741897,0,131885.4002
102.043783,0,132186.2794
140.151206,0,130305.7842
-64.085329,0,131383.9348
-43.30988,0,131760.0339
112.122111,0,132286.5725
-64.02803399999999,0,131459.1546
-39.940888,0,131258.5685
-76.02004000000001,0,131659.7408
172.935851,0,131684.814
35.678082,0,132261.4993
147.215776,0,133289.5033
-12.106598,0,131960.62
-54.213267,0,131183.3486
111.84136200000002,0,132336.7191
55.513881000000005,0,131258.5685
-77.217522,0,132186.2794
-140.454874,0,131208.4219
-84.643055,0,131760.0339
-110.609502,0,130481.2971
13.550451999999998,0,131810.1804
173.89842,0,130280.7109
64.136896,0,132437.0121
105.865412,0,132010.7666
27.708239000000003,0,133765.8955
-169.710099,0,130882.4694
-57.02076,0,131609.5942
35.374414,0,132411.9389
-28.453084000000004,0,132336.7191
-53.445503,0,131860.3269
-23.731912,0,132161.2062
128.760805,0,123561.0746
-10.118435,0,131910.4735
1.157375,0,133991.5549
51.485987,0,131032.909
150.567579,0,132386.8656
-138.770378,0,132411.9389
75.011635,0,132060.9131
-50.540607,0,131083.0556
53.147565,0,131534.3744
-25.24452,0,132286.5725
-162.949197,0,131684.814
109.841739,0,131709.8873
